TITLE: Bill of Materials
DATE: 06/14/2016
DESIGN: maxrefdes100_apps_a

ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,1,ANT1,Pref,49-2450AT42B100E-00,2450AT42B100E,JOHANSON TECHNOLOGY,2450AT42B100E,ANTENNA; CER; 2450AT SERIES; BOARDMOUNT; 50 OHM SMALL SMD CHIP ANTENNA; 2450MHz, 
2,1,B1,Pref, 58-103-00,103,KEYSTONE,103,BATTERY HOLDER; THROUGH HOLE 28.69MMX22.76MM; 20MM COIN CELL PC BATTERY HOLDER; PBT(UL 94V-0); SPRING STEEL 0.02; TIN NICKEL PLATE, 
3,2,"C1, C29",Pref,20-0U047-K8,C0805C473K3GAC,KEMET,0.047UF,CAPACITOR; SMT (0805); CERAMIC CHIP; 0.047UF; 25V; TOL=10%; MODEL=C0G; TG=-55 DEGC TO +125 DEGC; TC=+/-, 
4,4,"C2, C4, C44, C49",Pref,20-0010U-B65,GRM155R60J106ME44; C1005X5R0J106M050BC; CL05A106MQ5NUN; C0402C106M9PAC,MURATA; TDK; SAMSUNG ELECTRONICS; KEMET,10UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 10UF; 6.3V; TOL=20%; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
5,8,"C3, C9, C14, C15, C18, C19, C53, C63",Pref,20-0001U-BA24,GRM155R70J105MA12,MURATA,1UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 1UF; 6.3V; TOL=20%; TG=-55 DEGC TO +125 DEGC; TC=X7R, 
6,2,"C5, C37",Pref,20-0022U-X3,C1608X5R0J226M080AC,TDK,22UF,CAPACITOR; SMT (0603); CERAMIC CHIP; 22UF; 6.3V; TOL=20%; MODEL=C SERIES; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
7,3,"C6, C16, C31",Pref,20-0100P-27,C0402C101J5GAC; NMC0402NPO101J; CC0402JRNPO9BN101; GRM1555C1H101JA01; C1005C0G1H101J050,KEMET/NIC COMPONENTS CORP./YAGEO PHICOMP/MURATA/TDK,100PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 100PF; 50V; TOL=5%; TG=-55 DEGC TO +125 DEGC; TC=C0G, 
8,6,"C8, C39, C40, C54, C56, C62",Pref,20-000U1-04A,CGA2B3X7R1H104K; C1005X7R1H104K050BB; GRM155R71H104KE14,TDK; MURATA,0.1UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 0.1UF; 50V; TOL=10%; TG=-55 DEGC TO +125 DEGC; TC=X7R, 
9,7,"C10, C11, C38, C41, C42, C46, C57",Pref,20-004U7-Z52,C1005X5R1A475K050,TDK,4.7UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 4.7UF; 10V; TOL=10%; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
10,2,"C13, C27",Pref,20-0001U-11C,GCM188R71C105KA64; CGA3E1X7R1C105K080AC,MURATA; TDK,1UF,CAPACITOR; SMT (0603); CERAMIC CHIP; 1UF; 16V; TOL=10%; TG=-55 DEGC TO +125 DEGC; TC=X7R; AUTO, 
11,1,C17,Pref,20-1000P-27J,GRM1555C1H102GA01;C1005C0G1H102G050,MURATA/TDK,1000PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 1000PF; 50V; TOL=2%; TG=-55 DEGC TO +125 DEGC; TC=C0G, 
12,8,"C20, C23, C26, C28, C32, C48, C50, C55",Pref,20-000U1-33,GRM155R61A104KA01,MURATA,0.1UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 0.1UF; 10V; TOL=10%; TG=-55 DEGC TO +85 DEGC; TC=X5R; NOT RECOMMENDED FOR NEW DESIGN USE -20-000u1-31, 
13,2,"C21, C34",Pref,20-0001U-Z6,GMK107BJ105KA; C1608X5R1V105K080AB,TAIYO YUDEN/TDK,1.0UF,CAPACITOR; SMT (0603); CERAMIC CHIP; 1UF; 35V; TOL=10%; TG=-55 DEGC TO +85 DEGC; TC=X5R, 
14,2,"C22, C25",Pref,20-0015P-27,C0402C0G500-150JNP; GRM1555C1H150JA01,VENKEL LTD./MURATA,15PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 15PF; 50V; TOL=5%; TG=-55 DEGC TO +125 DEGC; TC=C0G, 
15,5,"C24, C58-C61",Pref,20-0001U-19,C0402X5R6R3-105KNP; C1005X5R0J105K; GRM155R60J105KE19; JMK105BJ105KV,VENKEL LTD./TDK/MURATA,1UF,CAPACITOR; SMT (0402); CERAMIC CHIP; 1UF; 6.3V; TOL=10%; TG=-55 DEGC TO +85 DEGC; TC=X5R; NOT RECOMMENDED FOR NEW DESIGN-USE 20-0001u-B8, 
16,2,"C30, C36",Pref,20-4700P-12,GRM155R71E472KA01,MURATA,4700PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 4700PF; 25V; TOL=10%; TG=-55 DEGC TO +125 DEGC; TC=X7R; NOT RECOMMENDED FOR NEW DESIGN-USE 20-4700p-15, 
17,1,C33,Pref,20-0100U-BA41,298D107X06R3P2,VISHAY SPRAGUE,100UF,CAPACITOR; SMT (2414); TANTALUM CHIP; 100UF; 6.3V; TOL=20%, 
18,4,"C43, C45, C47, C52",Pref,20-0010P-BA23,C0402C100D5GAC,KEMET,10PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 10PF; 50V; TOL=0.5PF; TG=-55 DEGC TO +125 DEGC; TC=C0G, 
19,1,C51,Pref,20-1000P-27,GRM1555C1H102JA01; C1005C0G1H102J050,MURATA; TDK,1000PF,CAPACITOR; SMT (0402); CERAMIC CHIP; 1000PF; 50V; TOL=5%; TG=-55 DEGC TO +125 DEGC, 
20,1,CN1,Pref,01-898430249031000024P-26,898-43-024-90-310000,MILL-MAX,898-43-024-90-310000,CONNECTOR; FEMALE; THROUGH HOLE; 898 SERIES; IO SOCKET; UNIVERSAL SERIAL BUS 3.1 TYPE C; MID-MOUNT RECEPTACLE; RIGHT ANGLE; 24PINS, 
21,1,DS1,Pref,30-SMLP11UTT86-00,SML-P11UTT86,ROHM,SML-P11UTT86,DIODE; LED; SMT; PIV=1.8V; IF=0.02A, 
22,1,L1,Pref,50-004U7-OFA,VLS201610CX-4R7M,TDK,4.7UH,INDUCTOR; SMT (2016); FERRITE CORE; 4.7UH; TOL=+/-20%; 0.92A, 
23,1,L2,Pref,50-002U2-0AD,1285AS-H-2R2M,TOKO,2.2UH,INDUCTOR; SMT (2016); METAL ALLOY CHIP; 2.2UH; TOL=+/-20%; 1.4A, 
24,1,L3,Pref,50-003N3-0DQ,MLK1005S3N3ST000,TDK,3.3NH,INDUCTOR; SMT (0402); CERAMIC CHIP; 3.3NH; TOL=+/-0.3nH; 0.4A, 
25,1,L4,Pref,50-001N5-0DR,MLK1005S1N5ST000,TDK,1.5NH,INDUCTOR; SMT (0402); CERAMIC CHIP; 1.5NH; TOL=+/-0.3nH; 0.5A, 
26,2,"Q1, Q3",Pref,90-PMZB600UNE-25,PMZB600UNE,NXP,PMZB600UNE,TRAN; 20V; N-CHANNEL TRENCH MOSFET; NCH; SMT; PD-(0.36W); I-(0.6A); V-(20V), 
27,1,Q2,Pref,90-FDME1034CZT-02,FDME1034CZT,FAIRCHILD SEMICONDUCTOR,FDME1034CZT,TRAN; COMPLEMENTARY POWER TRENCH MOSFET; DCH; MICROFET; PD-(1.4W); I-(N+3.8A/P-2.6A); V-(N+20V/P-20V), 
28,1,Q4,Pref,90-FDFME2P823ZT-02,FDFME2P823ZT,FAIRCHILD SEMICONDUCTOR,FDFME2P823ZT,TRAN; INTEGRATED P-CHANNEL POWER TRENCH MOSFET AND SCHOTTKY DIODE; PCH; MICROFET; PD-(1.4W); I-(-20V); V-(2.6A), 
29,4,"R1, R23, R24, R28",Pref,80-0010K-23,CRCW040210K0FK; RC0402FR-0710K,VISHAY DALE; YAGEO PHICOMP,10K,RESISTOR; 0402; 10K; 1%; 100PPM; 0.0625W; THICK FILM, 
30,9,"R2, R7, R12, R15, R18, R22, R31, R33, R34",Pref,80-004K7-18,ERJ-2RKF4701,PANASONIC,4.7K,RESISTOR; 0402; 4.7K OHM; 1%; 100PPM; 0.10W; THICK FILM, 
31,4,"R3, R4, R17, R19",Pref,80-0001M-23G,RC0402FR-071ML,YAGEO PHYCOMP,1M,RESISTOR; 0402; 1M OHM; 1%; 100PPM; 0.063W; THICK FILM, 
32,8,"R6, R20, R21, R27, R29, R43-R45",Pref,80-0000R-26A,ERJ-2GE0R00X,PANASONIC,0,RESISTOR; 0402; 0 OHM; 0%; JUMPER; 0.10W; THICK FILM, 
